Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,loss_mean
38,0.3630192161397511,0.014731837210185113,0.6222489466500647,0.014994,0.34748274460434914,0.01476069854106754,0.6377292424440384,0.0933564081788063,0.004185008484131499,0.00030813269394578465,0.004202896986343673,0.0003840165002546676,0.6000000000000001,0.6213371008634567,0.005034731612573891,0.09278204030343654,0,0
39,0.3599418751671323,0.013654975552757692,0.626403149280111,0.013866,0.3444148600101471,0.013556187390349805,0.6419226676225662,0.09143308363854885,0.00418932001578344,0.00021879981204589864,0.004126761876339446,0.0006149276224091763,0.6000000000000001,0.6213371008634567,0.005034731612573891,0.09278204030343654,0,0
40,0.3571152814788405,0.012634444238706518,0.6302502742824538,0.012487,0.3415067605674267,0.012908364064060152,0.6455556973814964,0.0029924473055871204,0.004209282922974414,0.00015232755905595328,0.004152024608831923,0.000873252102992655,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
41,0.3543998393276374,0.012805589727125505,0.6327945709452379,0.012823,0.3386979475617409,0.012934713042341173,0.6483814492821693,0.0008233784465119243,0.004244778321055439,0.00014543565976386539,0.0041084382701241234,0.00018927417907065662,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
42,0.35167090600487316,0.01295786955762826,0.6353712244374996,0.013002,0.33594246208667755,0.013035060255788267,0.6510363295674324,0.0007398983361781575,0.004290330264323599,0.0001541520922251561,0.004136172853564016,0.0001892023976496583,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
43,0.3489331500074708,0.01309047162266526,0.637976378369865,0.012719,0.33321351557970047,0.01314934203401208,0.6536403894424438,0.0007236140845634509,0.004335962257832657,0.00014001035409854374,0.004200283092498117,0.00019145154026936785,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
44,0.3461912676074987,0.01320270636481073,0.6406060260276916,0.013108,0.3305017575621605,0.013261488638818264,0.6562336906790733,0.0007178729538281914,0.004370497097302378,0.00010418740381425718,0.00426253626134515,0.00019211042992763977,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
45,0.3434499496840065,0.013294014621218176,0.6432560356947763,0.013306,0.3278086446225643,0.0133577297674492,0.6588272899389267,0.0007150951605581213,0.004384388552548093,8.740179475709022e-05,0.0042996120870226456,0.000192449521870143,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
46,0.34071384876778565,0.013363973742847689,0.6459221774893675,0.013474,0.3251372016966343,0.013428399921394885,0.6614233925938606,0.0007135654814192094,0.004371737197426228,0.00011727389921242879,0.004303936670671431,0.00019275199790656512,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
47,0.33798754784051793,0.013412301408869287,0.6486001507506135,0.013702,0.32248518243432045,0.01346381357870996,0.6640300452709198,0.0007127175267669372,0.004330517979821239,0.00013703428627660113,0.004273853554378962,0.00019307859829180803,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
48,0.33527552927301524,0.013438858023618154,0.6512856127033675,0.013455,0.3198455758392811,0.013477638247422874,0.6666560545563698,0.0007122981878637802,0.004261274233533089,0.0001420142740539616,0.004210445391173894,0.00019343508698987176,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
49,0.33258214636180894,0.013443646702562043,0.6539742069356299,0.013603,0.3172156475484371,0.013465692522004247,0.6692951172590256,0.0007121690941858105,0.0041650343658196885,0.00011318498312085871,0.004117698853357827,0.0001938159220178138,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,0,0
50,0.32991159684759264,0.013426811375490006,0.6566615917769184,0.013233,0.3146040625870228,0.01344559236895293,0.6719240769743919,0.0007122450078895781,0.004039640098301331,9.404069454866489e-05,0.003996974304198044,0.00019421521301121478,0.6000000000000001,0.6213371008634567,0.005034731612573891,0,1688.2081139981747,0
